-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
adrese	adresse (d'un envoi)
advente	avent
adverbe	adverbe
adversario	adversaire
advocate	avocat
aeroplan	aéroplane
afeblar	affaiblir
afecion	affection (amitié, méd.)
afecionate	dévoué
afectar	affecter (feindre)
afectuose	affectueux
afer	affaire (en gén.)
afiche	affiche
afiche	placard (affiche)
afin da	afin de
afin que	afin que
afirmar	affirmer
afirmativ	affirmatif
aflicion	affliction
aflictar	affliger
afrancar	affranchir (poste)
África	Afrique
african	africain
agectiv	adjectif
agence	agence
agente	agent
agil	agile
agitacion	agitation
agitar	agiter
agnel	agneau
agonía	agonie
agrandar	agrandir
agrandar	grandir (vt.)
agravar	aggraver
agreable	agréable
agresiv	agressif
agricultor	agriculteur
agricultur	agriculture
agul	aiguille
ah!	ah!
ah!	hélas!
aire	air (phys.)
ajun	jeûne
ajunar	jeûner
ajuntar	ajouter
ajurnar	ajourner
ajurnar	différer (vt.)
ajurnar	remettre (ajourner)
ajustar	ajuster (rendre juste)
al comence	abord ; d'abord
al salute de	à la santé de
ala	aile
alarmar	alarmer
alauda	alouette
alba	aube (aurore)
album	album
alcohol	alcool
alcohol	esprit (alcool)
alcoholique	alcoolique
alea	allée (chemin)
alegoría	allégorie
alfabete	alphabet
algo	quelque chose
algo	rien
algue	aucun
algue	personne (pron., qn.)
algue	quelque (a. indéf.)
algue	quelqu'un
algues	d'aucuns
algues	quelques-uns
aliance	alliance
aliar	allier (traité)
alie	ail
alimentar	alimenter
almanaque	almanach
aló	allo
alontanar	écarter (éloigner)
alontanar	éloigner (écarter)
alontanar	enlever (éloigner)
alor	alors
alor	lors
alor que	lorsque
altacion	haussement
altante, altantes	autant [de]
altanto	autant (comparaison)
altanto ... come	autant ... que
altar	autel
altar	hausser
alte	haut (a.)
altemente	haut (adv.)
alternativa	alternative (s.)
altese	altesse
altitude	altitude
alto	au-dessus
alto	dessus (adv., [en])
alto	en haut (situation)
altre	autre
altremente	autrement
altro	autre chose
altrove	ailleurs
altur	hauteur
aludar a	faire allusion à (aussi)
alumar	allumer
alumete	allumette
aluminio	aluminium
alusion	allusion
amabilitá	amabilité
amable	aimable
amanta	amante
amanta	maîtresse (sens galant)
amante	amant
amar	aimer
amasar	ramasser (faire un amas)
amase	amas
amase	tas
amator	amateur
ambasada	ambassade
ambasador	ambassadeur
ambasadora	ambassadrice
ambe	tous les deux (a.)
ambes	l'un et l'autre
ambes	tous les deux (pron.)
ambicion	ambition
ambiciose	ambitieux
ambulance	ambulance
amelioracion	amélioration
ameliorar	améliorer
amen	amen
amenar	amener
amer	amer (a.)
América	Amérique
american	américain
amica	amie
amical	amical
amicitá	amitié
amico	ami
amiral	amiral
amnistiar	gracier
amor	amour
amorose	amoureux
ample	ample
ample	large (ample)
amputar	amputer
amulete	amulette
amusante	plaisant (amusant)
amusar	amuser (divertir)
anade	canard (oiseau)
analisar	analyse
anarquía	anarchie
anarquiste	anarchiste
ancestre	ancêtre
anchova	anchois
ancian	ancien (ci-devant)
ancor	encore
ancor	toujours (encore)
ancre	ancre
anda	va (interj.)
andamo	allons
andar	aller
andar	se rendre (aller)
andar longo	longer
andar se	s'en aller
anecdote	anecdote
anel	anneau
anel	bague
anel	rond (anneau)
anemía	anémie
anemique	anémique
anemon	anémone
anexar	annexer (pol.)
aneyar	noyer (vt.)
aneyar se	se noyer (volont.)
angel	ange
angle	angle
anguila	anguille
angustia	angoisse
anhelar	haleter
anihilar	annihiler
ánima	âme
animal	animal
animar	animer
animositá	animosité
aniversari	anniversaire (a.)
aniversario	anniversaire (s.)
ano	an
ano	année
anonim	anonyme (a.)
anormal	anormal
anotar	annoter
anque	aussi (pareillement)
antagoniste	antagoniste
antarctique	antarctique
antena	antenne
anterior	antérieur
anticue	antique (a.)
anticuemente	jadis
antipatía	antipathie
antipatique	antipathique
anular	annuler
anunciar	annoncer
anuncie	annonce
anxietá	anxiété
anxiose	anxieux
aparate	appareil
aparate da rasar	rasoir de sûreté
aparence	apparence
aparente	apparent
aparicion	apparition
aparisar	apparaître
aparisar	paraître (se montrer)
apartamente	appartement
apartenar	appartenir
apatía	apathie
apatique	apathique
ape	abeille
apel	appel
apelar	appeler
apelar a	en appeler à
apena	guère (à peine)
apena	à peine
apendicite	appendicite
apetite	appétit
apetitose	appétissant
aplanar	unir (aplanir)
aplaudar	applaudir
aplaude	applaudissement
aplicar	appliquer
apoplexía	apoplexie
aportar	apporter
apostle	apôtre
apostrofe	apostrophe (signe)
apoyar	appuyer
apoye	appui (soutien)
apreciar	apprécier
aprendar	apprendre (étudier, être informé de)
april	avril
aprobacion	approbation
aprobar	approuver
aprochar (a)	approcher (de)
aproche	approche
apropriar se de	s'emparer de
aproximativ	approximatif
apte	apte
apte	propre (convenable)
aptitude	aptitude
apuntamente	rendez-vous
aquil	aigle
aquistar	acquérir
arabe	arabe
arachar	arracher
aranie	araignée
aranjamente	arrangement
aranjar	arranger
arbre	arbre
arbuste	arbuste
arbuste	buisson
arcada	arcade
arco	arc
arco-in-ciel	arc-en-ciel
arctique	arctique
ardante	ardent
ardar	brûler (vi., fig.)
ardesa	ardoise
ardor	ardeur
arena	arène (de cirque)
arestacion	arrêt (arrestation)
argente	argent (métal)
Argentina	Argentine
argil	argile
argumente	argument
aria	air (mus.)
aristocracía	aristocratie
aristocrate	aristocrate
aristocratique	aristocratique
aritmetique (a.)	arithmétique
aritmetique (s.)	arithmétique
arivada	arrivée
arivar	arriver (venir)
armar	armer
armario	armoire
armario	placard (armoire)
arme	arme
armea	armée
armistice	armistice
arogante	arrogant
arom	arôme
arqueología	archéologie
arqueologique	archéologique
arquete	archet
arquiespicope	archevêque
arquipelago	archipel
arquitecte	architecte
arquitectur	architecture
arsenico	arsenic
arte	art
arterie	artère
article	article
articul	article (anat.)
articular	articuler
artificial	artificiel
artilería	artillerie
artisan	artisan
artiste	artiste
artistique	artistique
artrite	arthrite
as	as
asecuracion	assurance (affirmation, fin.)
asecurar	assurer (affirmer, fin.)
asecurar	protester de (assurer, aussi)
asecurar se de	s'assurer de
asemblar	assembler (réunir)
asemblar	rassembler (hommes)
asemblea	assemblée
asertar	affirmer (prétendre)
asertar	maintenir (affirmer)
asertar	prétendre (affirmer)
asfalte	asphalte
asiatique	asiatique
asiatique	Asie
asiete	assiette (vaisselle)
asil	asile
asistance	assistance (aide)
asistar	assister (aider)
asna	ânesse
asne	âne
asociacion	association
asociar	associer
asparge	asperge
aspecte	air (aspect)
aspecte	aspect
aspecte	mine (aspect)
aspirar	aspirer
aspirator	aspirateur
aspre	âpre
aspre	rude (au toucher)
asquete	ascète
astma	asthme
astrología	astrologie
astronomía	astronomie
astute	rusé
astutese	ruse
atacar	attaque
atachar	attacher
ateliera	atelier
atencion	attention
atencionar	faire attention à (aussi)
atendar	attendre
atende	attente
atendrisar	attendrir (fig.)
atentato	attentat
atentiv	attentif
aterisage	atterrissage
aterisar	atterrir
atestar	attester
atingar	atteindre (arriver à)
atingar	toucher (atteindre)
atitude	attitude
Atlantique	Atlantique
atlete	athlète
atmosfer	atmosphère
atom	atome
atomique	atomique
atracion	attraction
atractante	attrayant
atractar	attirer
atractar se	contracter (s'attirer)
atribuar	attribuer
atristar	attrister
audacia	hardiesse
audaciose	hardi
audiar	entendre
auditor	auditeur
auditora	auditrice
auditorio	auditoire (auditeurs)
augmentacion	augmentation
augmentar	augmenter
augusto	août
auscultar	ausculter
Australia	Australie
australian	australien
Austria	Autriche
austrian	autrichien
auto	auto (s., automobile)
autobuse	autobus
autocar	autocar
autografe	autographe
automate	automate (s.)
automatique	automatique
automobil	automobile
automobiliste	automobiliste
autonomía	autonomie
autopsía	autopsie
autor	auteur
autora	auteur
autorisacion	autorisation
autorisar	autoriser
autoritá	autorité
autumne	automne
avalanche	avalanche
avan	avant (prép., adv.)
avan	avant de
avan que	avant que
avan-yer	avant-hier
avance	avance (fin.)
avantage	avantage
avantajose	avantageux
avante	auparavant
avante	avant (auparavant)
avanzar	avancer
avar	avare
avaricia	avarice
ave	oiseau
avena	avoine
aventur	aventure
aventurera	aventurière
aventurero	aventurier
aventurose	aventureux
avenú	avenue
aversion	aversion
avertisar	avertir
avertisar	prévenir (avertir)
aviacion	aviation
aviar	voler (en l'air)
aviator	aviateur
aviatora	aviatrice
avide	avide
avion	avion
avisar	aviser (informar)
avise	avis (information, com.)
avivar	raviver
avoltes	parfois
avoltes	quelquefois
axiom	axiome
ayutar	aider
ayute	aide (acte)
baca	baie (fruit)
bachelera	étudiante (après le baccalauréat, aussi)
bachelerato	baccalauréat
bachelero	étudiant (après le baccalauréat, aussi)
bacil	bacille
bagage	bagage (de voyage)
bagatel	bagatelle
bal	bal
bala	balle (á jouer)
balance	balance
balanzar	balancer
balayar	balayer
balbuciar	balbutier
balcon	balcon
balena	baleine (zool.)
balete	ballet
balon	ballon
baltique	baltique
balustrada	balustrade
banal	banal
banana	banane
banca	banc (siège)
bandar	panser (méd.)
bande	bande (lien, troupe)
bande	lien
bandiera	drapeau
baniar	baigner (vt.)
banie	bain
banque	banque
banquero	banquier
banquete	banquet
baptisar	baptiser
baptisme	baptême
bar	bar (cabaret)
bara	barre
barar	barrer (fermer)
barate	bon marché (a.)
baratemente	bon marché (adv.)
barbar	barbare
barbe	barbe
barbero	barbier
barbero	coiffeur (barbier)
bariera	barre (barrière)
bariera	barrière
barometre	baromètre
baron	baron
baronesa	baronne
basar	baser
base	bas (a.)
base	base (s.)
basemente	bas (adv.)
basin	bassin (pièce d'eau)
baso	au-dessous
baso	en bas
baso	dessous (adv. [en, au])
bastante (a.)	assez de
bastanto	assez (sufissament)
bastingage	bastingage
baston	bâton
batalie	bataille
batar	battre
batar	frapper (battre)
batel	bateau
batel	canot
batel de vapor	vapeur (bateau)
batería	batterie (mil., électr.)
bayar	bâiller
baye	baie (golfe)
bazar	bazar
bebé	bébé
bel	beau
bel	bel
bel-artes	beaux-arts
bel-filia	belle-fille
bel-filio	beau-fils
bel-filio	gendre
bel-fratre	beau-frère
bel-matre	belle-mère
bel-parentes	beau-parents
bel-patre	beau-père
bel-sorora	belle-soeur
belgian	belge
belgian	Belgique
beltá	beauté
benedicar	bénir
benedicion	bénédiction
bercel	berceau (meuble)
bercelar	bercer
besar	baiser (v.)
besar	embrasser (baiser)
beso	baiser (s.)
besonia	besogne
besoniar	avoir besoin de (aussi)
besoniar	falloir (avoir besoin de)
besonie	besoin
bestial	bestial
bestie	bête (s.)
beta	but
beton	béton
betul	bouleau
bevar	boire
beve	boisson
bevo	bec
bible	bible
biblioteca	bibliothèque
bibliotecario	bibliothécaire
biciclete	bicyclette
bicicliste	cycliste
bien-ser	bien-être
bienfato	bienfait
bienfator	bienfaiteur
bienque	bien que
bienque	quoique
bienvenate	bienvenu
bienvolence	bienveillance
bienvolente	bienveillant
bier	bière (boisson)
bierería	brasserie
bifteque	bifteck
bile	bile
biliarde	billard
biliete	billet
binocle	lorgnon (binocle)
biografía	biographie
biografique	biographique
biología	biologie
biologique	biologique
biologue	biologiste
biscuite	biscuit
bizar	bizarre
blamable	blâmable
blamar	blâmer
blanque	blanc (a.)
blanquese	blancheur
blasfemar	blasphémer
blocar	bloquer
blonde	blond
blondin	blondin
blondina	blondine
blu	bleu
bluse	blouse
boa	boa
boca	bouche
boca	gueule (bouche)
bola	bille (billard)
bola	boule
bombardar	bombarder
bombe	bombe
bon	bon (a.)
bon dia	bonjour (bon jour)
bon sera	bonsoir
bonbon	bonbon
bonete	bonnet (d'homme)
bontá	bonté
borde	bord (extrémité)
bordear	louvoyer
bordo	bord (mar.)
bosque	bois (arbres)
bota	botte (chaussure)
botanica	botanique (s.)
botanique	botanique (a.)
botelie	bouteille
botin	bottine
boxar	boxer
boxator	boxeur
brace	bras
bracelete	bracelet
Brasil	Brésil
bravar	braver
brave	brave (a.)
bravo	bravo (interj.)
breve	bref (a.)
bride	bride
briliante	brillant (a., diamant)
briliar	briller
brique	brique (s.)
britanique	britannique
broche	broche (bijou)
brochur	brochure (livre)
brodar	broder
brom	brome (chim.)
bronce	bronze
bronquite	bronchite
brosar	brosser
brose	brosse (à dents, etc.)
bruisar	bruire
bruitar	faire du bruit (aussi)
bruite	bruit
bruite	tapage
brular	brûler
brun	brun (a.)
bruneta	brunette (s.)
brunete	brunet (s.)
brusque	brusque
brutal	brutal
brutalitá	brutalité
buchar	tuer (abattre)
buchero	boucher (s.)
bucle	boucle (de cheveux, de ficelle)
bufete	buffet
bugete	budget
bula	bulle
bulevarde	boulevard
Bulgaria	Bulgarie
buliar	bouillir
buliar	faire bouillir
bulion	bouillon (liquide)
buquete	bouquet (de fleurs)
burguesa	bourgeoise
burguese	bourgeois
burjon	bourgeon
burlar	moquer
burlar se de	railler
burle	moquerie
burse	bourse (pour argent, fin.)
busol	boussole
butica	boutique
butica de carne	charcuterie
buton	bouton
butonar	boutonnet (vt.)
butoniera	boutonnière
butre	beurre
caban	cabane
caban	loge (cabane)
cabarete	cabaret (restaurant)
cabin	cabine
cabinete	cabinet
cacao	cacao
cachar	cacher
cache	cachette
cadar	tomber
cadavre	cadavre
cade	chute
cafe	café
café	café (local)
cage	cage
calcete	chaussette
calcular	calculer
caldamente	chauffage
caldar	chauffer
calde	chaud (a.)
caldese	chaleur (prop. et fig.)
caldese	chaud (s.)
calmar	calmer
calme	calme (a.)
calmese	calme (s.)
calumniar	calomnier
calve	chauve
calza	à bas (s., vêtement)
calzones (pl.)	caleçon
camarade	camarade
camel	chameau
camin	chemin (route, aussi)
camisa	chemise
campanie	campagne
campar	camper (vi.)
campe	campagne (champ)
campe	champ
campo	camp
canal	canal
cancelería	chancellerie
cancer	cancer
candel	chandelle
candel de cera	cierge
candidate	candidat
cane	chien
canel	canelle (aromate)
canibal	cannibale
canife	canif
canon	canon (mil. et relig.)
canotage	canotage
cantar	chanter
cantator	chanteur
cante	coin (angle)
canzon	chanson
caose	chaos
caotique	chaotique
capable	capable
capel	chapelle
capil	cheveu
capital	capital (s., fin)
capitale	capitale (ville)
capitalisme	capitalisme
capitaliste	capitaliste
capitan	capitaine
capitle	chapitre
capitular	capituler
capo	cap
capo	tête
capote	capot (d'auto)
caprice	caprice
caprice	fantaisie (caprice)
capriciose	capricieux
captivar	captiver
captivitá	captivité
car	car
car	cher (a.)
caracter	caractère (naturel)
caracterisar	caractériser
caracteristica	caractéristique (s.)
caracteristique	caractéristique (a.)
carafe	carafe
caravan	caravane
carbon	charbon
cardinal	cardinal
cardon	chardon
caresar	caresser (prop.)
caresar	flatter (caresser)
carese	caresse (prop.)
cariar	carier
caricatur	caricature
cariera	carrière (fig.)
carin	joli
carmente	cher (adv.)
carnacion	teint (carnation)
carne	chair
carne	viande
carneval	carnaval
carota	carotte
carte	carte
carte-letre	carte-lettre
cartiera	portefeuille (de poche)
cartilage	cartilage
carton	carton
casa	maison
casa municipal	hôtel de ville
casa municipal	mairie (édifice)
cascada	cascade
caserna	caserne
casino	casino
caso	cas
casque	casque
casquete	casquette
castel	château
castigacion	châtiment
castigar	châtier
cata	chatte
catalogue	catalogue
catar	catarrhe
catar	rhume
catastrofe	catastrophe
cate	chat
catechisme	catéchisme (livre)
catedra	chaire
catedral	cathédrale
categoría	catégorie
categorique	catégorique
catena	chaîne
catolicisme	catholicisme
catolique	catholique
cauchu	caoutchouc
cauda	queue (animal, pers.)
caule	chou
causa	cause
causa	sujet (cause)
causar	causer (être cause de)
causar	produire (causer)
cava	cave (s.)
caval	cheval
cavala	jument
cavalcar	aller à cheval
cavalcar	monter à cheval
cavalcator	cavalier (s.)
cavalería	cavalerie
cavalero	cavalier (soldat)
cavalieresque	chevaleresque
cavaliero	cavalier (d'une dame)
cavaliero	chevalier
cavalo	étalon (cheval)
cavar	creuser
cave	cave (a.)
cave	creux (a.)
caverna	caverne
caye	quai
cebra	zèbre
cecear	zézayer
cedar	céder
cel	celui [là]
cel	celle [là]
cel libre	le livre que voilà
cele	zèle
celebrar	célébrer (une fête)
celebrar	fêter (célébrer)
celebre	célèbre
celebritá	célébrité
celes	ceux [là]
celes	celles [là]
celibatorio	garçon (célibataire)
celo	ça (pron.)
celo	ce ... là
celo	cela (ça)
celose	zélé
celul	cellule
censur	censure (officielle)
cente	cent
centen	centaine
centenari	centenaire (a.)
centenario	centenaire (s.)
centigrade	centigrade
centim	centime
centimetre	centimètre
central	central
centralisar	centraliser
centre	centre
ceque	aveugle
cera	cire
cerar	cirer
cerebral	cérébral (a.)
cerebre	cerveau
ceremonía	cérémonie
cerisa	cerise
cero	zéro
certan	certain
certanmente	certainement
certe	certain (indéterminé)
certificar	certifier
certificato	certificat
certitude	certitude
cesar	cesser
chagrin	chagrin (s., peine)
chale	chale
chambre	chambre
chambre	salle (petite)
champanie	champagne
champion	champion
chance	chance (bonne ou mauvaise)
chance	veine (chance)
change	change
change	changement
chanjar	changer [de]
chantatora	chanteuse
chapel	chapeau
chaques (pl.)	échecs (pl.)
charge	charge
charge	tâche
charitá	charité
charitable	charitable
charjar	charger
charmar	charmer
charmar	ravir (charmer)
charme	charme (agrément)
charpe	écharpe
chasar	chasser
chasator	chasseur
chascun	chacun
chascun	chacune
chascun	chaque
chase	chasse
chaste	chaste
chastitá	chasteté
che	chez (prép.)
chefe	chef
chefe del servitores	maître d'hotel
cheque	chèque
cherchar	chercher
cherchar	fouiller (vi.)
chimenea	cheminée (tuyau)
China	Chine
chinese	chinois
chique	chic
chocar	choquer (fig.)
chocolate	chocolat
chofero	chauffeur (d'auto)
choque	choc (phys. et mor.)
chosea	chaussée
chuchotar	chuchoter
ci	ci
ci	ici
ci / [a] ci	ici (direction)
cicliste	cycliste
ciclon	cyclone
cidre	cidre
ciel	ciel
cifre	chiffre
cigan	tsigane
cigar	cigare
cigarete	cigarette
cigne	cygne
cigonie	cigogne
cil	celui-ci
cil	celle-ci
cil	ce...-ci
cil	celui-ci
cil libre	le livre que voici
ciles	ceux-ci
ciles	celles-ci
cilindre	cylindre
cilo	ça (pron.)
cilo	ce (a. dem.)
cilo	ceci
cilo	cela (ça)
cimice	punaise
cimiterio	cimetière
cincumstance	cinconstance
cinema	cinéma
cinematografe	cinématographe
ciner	cendre
cineriera	cendrier
cinique	cynique (a.)
cinisme	cynisme
cinque	zinc
cintur	ceinture (vêtement)
ciprese	cyprès
circa	environ (prép.)
circa	quelque (adv., environ)
circle	cercle
circle	rond (cercle)
circo	cirque
circulacion	circulation
circular	circulaire (s.)
circular	circuler
cisel	ciseau
ciso	ciseaux (sing.)
citá	ville
citá capital	capitale (ville)
citadan	citoyen
citar	citer
citron	citron
civil	civil
civilisacion	civilisation
civilisar	civiliser
clar	clair (a.)
clar	net (clair)
claritá	clarté
claror	lueur
clase	classe
clase	ordre (classe)
clasique	classique
claudicar	boiter
clavar	clouer
clave	clé
clave	clef
clavicul	clavicule
clavo	clou
clienta	cliente
cliente	client
climate	climat
cliniar (con)	cligner (de)
clinica	clinique (s.)
clinie de ocle	clin d'oeil
clinique	clinique (a.)
cloche	cloche
clochete	clochette
clochete	sonnette
cloroforme	chloroforme
club(e)	club
cludar	fermer
cobra	cobra
cocaín	cocaïne
cocar	cuire
coche	fiacre
cocina	cuisine
cocinera	cuisinière
cocinero	cuisinier
codarde	lâche (sans courage)
codardía	lâcheté (poltronnerie)
cofre	malle (coffre)
cofre-forte	coffre-fort
coi	que (pron. interr.)
coi	quoi (pron. rel.)
coi	quoi (pron. interr.)
col	cou
col de pede	cou-de-pied
cola	colle
colaboracion	collaboration
colaborator	collaborateur
colar	coller
colecion	collection
colectar	rassembler (choses)
colege	collège
colera	choléra
colera	colère
colerique	colérique
colete	collet (de vêtement)
coliar	cueillir (fruits, fleirs)
coliera	collier
coliera	rivière (collier)
colin	colline
colision	collision
colo	col
colona	colonne
colonel	colonel
colonía	colonie
color	couleur
colorar	colorer
colorar	colorier
colosal	colossal
colpar	frapper (battre)
colpe	coup (action)
coltel	couteau
coltel da rasar	rasoir
columba	colombe
columba	pigeon
comandante	commandant
comandar	commander
comando	commandant (grade mil.)
combatar	combattre
combate	combat
combinacion	combinaison
combinar	combiner
come	comme
come	comment
come	en (comme)
come sta vu?	comment allez-vous?
comedía	comédie
comence	commencement
comence	début (commencement)
comenzar	commencer
comerce	commerce (com.)
comercial	commercial
comerciante	commerçant
comfortable	confortable (a.)
comforte	confort
comique	comique (a.)
comision	commission (assemblée, com.)
comitar	commettre (faire)
comitato	comité
comoda	commode (s., meuble)
comode	commode (a.)
companía	compagnie
companiera	compagne
companiero	compagnon
comparable	comparable
comparacion	comparaison
comparar	comparer
compartimente	compartiment
compasion	compassion
compasion	pitié
compatriota	compatriote
compatriote	compatriote
compensacion	récompense (compensation)
competence	compétence
competente	compétent
competicion	compétition
complemente	complément
completar	compléter
complete	complet (a.)
completemente	tout à fait
complexe	complexe (s.)
complicacion	complication
complicar	compliquer
complice	complice
complimentar	complimentar
complimente	compliment
complote	complot
composar	composer (vt.)
composicion	composition
compositor	compositeur
compote	compote
comprar	acheter
comprator	acheteur
compratora	acheteuse
compre	achat
comprendar	comprendre
comprendar	entendre (comprendre)
comprendar	saisir (comprendre)
comprensible	compréhensible
compromise	compromis
compromitar	compromettre (vt.)
comte	comte
comtesa	comtesse
comun	commun (a.)
comunicacion	communication
comunicacion	correspondance (communication)
comunicar	communiquer
comunicar	faire part de
comunicato	communiqué
comunion	communion
con	de (moyen, instrument)
con bon directo	justement (à bon droit)
con intencion	exprès (adv.)
concedar	concéder
concentracion	concentration
concentrar	concentrer
concernante	concernant (prép.)
concernar	concerner
concernar	regarder (concerner)
concerte	concert (mus.)
concludar	conclure
conclusion	conclusion
concordia	concorde
concrete	concret
concurar	concourir (rivaliser)
concurence	concurrence
concurente	concurrent (s.)
concurse	concours (compétition)
condamnar	condamner
condicion	condition
condolence	condoléance
conductar	conduire
conducte	conduite
conducto	conduit
conductor	conducteur (s.)
confecion	confection (vêtements)
confecionar	confectionner
conferar	conférer (vi.)
conference	conférence (réunion)
confesar	avouer
confesar	confesser
confesar	reconnaître (avouer)
confesion	aveu
confesion	confession
confesor	confesseur
confidar	confier
confidar se a	se confier à
confidence	confidence
confidencial	confidentiel
confirmacion	confirmation
confirmar	confirmer
confiscar	confisquer
confitur	confiture
conflicte	conflit
confrontar	confronter
confundar	bouleverser (fig.)
confundar	confondre
confuse	confus
confusion	confusion (état)
congedar	congédier
congedar	renvoyer (congédier)
congede	congé
congede	permission (mil.)
congratulacion	congratulation
congratular	congratuler
congrese	congrès
coniaque	cognac
conilie	lapin
conjuncion	conjonction
conosance	connaissance
conosance	science (gén.)
conosar	connaître (vt.)
conquestar	conquérir
conqueste	conquête
consacrar	consacrer
consecuar	être la conséquence (aussi)
consecuar	s'ensuivre
consecuence	conséquence
consecuente	conséquent (a., logique)
conseliar	conseiller (v.)
conselie	avis (conseil)
conselie	conseil (avis, réunion)
consentar	consentir (vi.)
consentimente	consentement
conservar	conserver
conservar	garder (conserver)
conserve	conserve (alimentaire)
considerable	considérable
consideracion	considération
considerar	considérer
consience	conscience (mor.)
consiente	conscient
consientese	conscience (psychol.)
consistar	consister
consolar	consoler
consonante	consonne
conspiracion	conspiration
conspirar	conspirer (vi.)
constante	constant
constatar	constater
consternacion	consternation
consternar	consterner
consternar	interdire (consterner)
constipacion	constipation
constituar	constituer
constitucion	constitution
constitucional	constitutionnel
construcion	construction
constructar	bâtir
constructar	construire
construction	bâtiment
consul	consul
consulato	consulat
consultacion	consultation
consultar	consulter
consumacion	consommation
consumar	consommer (consumer)
consumar	user (vt.)
contacte	contact
contagion	contagion
contagiose	contagieux
contante	comptant (a.)
contar	compter
contator	comptoir (meuble)
contemplacion	contemplation
contemplar	contempler
contemporan	contemporain
contenar	contenir
contenar	renfermer (contenir)
contenar	tenir (contenir)
contenato	contenu (s.)
contentar (con)	contenter (de)
contente (con)	content (de)
contento	contentement
contestar	contester (vt.)
continental	continental
continente	continent (s.)
continuacion	continuation
continuacion	suite (continuation)
continual	continuel
continuar	continuer
conto	compte
contracion	contraction
contractar	contracter
contracte	contrat
contracte	marché (convention)
contradicar	contredire
contramarque	contremarque
contrari	contraire (a.)
contrario	contraire (s.)
contraste	contraste
contre	contre (prép.)
contribuar	contribuer
contribucion	contribution
control	contrôle (action)
controlar	contrôler (vérifier)
controlor	contrôleur
conturne	contour
contusion	contusion
convenance	convenance
convenante	convenable
convenante	propre (convenable)
convenar	convenir
convenar	seoir (convenir)
convencion	marché (convention)
convente	couvent
conversacion	conversation
conversar	causer (converser)
conversar	converser
conversar con	s'entretenir avec
convincar	convaincre
convincion	conviction
convocar	convoquer
convoyar	convoyer
convulsion	convulsion
convulsiv	convulsif
cooperacion	concours (aide)
cooperacion	coopération
cooperar	coopérer
copía	copie
copiar	copier
coquetar	coqueter
coquete	coquet (a.)
corage	courage
corajose	courageux
Coran	Coran
corbe	corbeille
corbe	panier
corde	corde
cordial	cordial
cordialitá	cordialité
cordon	cordon
cordon	ligne (cordon)
cordon (cordonete)	ficelle
corea	courroie
corecion	correction
corectar	corriger
corecte	correct
corespondance	correspondance
corespondar	correspondre
coridor	couloir (corridor)
corie	cuir
corne	corne
cornelie	corneille
coro	choeur
coro	coeur (aussi aux cartes)
corona	couronne
coronar	couronner
corpe	corps
corporacion	corporation
corpulence	corpulence
corpulente	corpulent
corque	liège (matière)
corsete	corset
corte	cour
cortina	rideau
corupcion	corruption
coruptar	corrompre
coruptar	gâter
cosa	chose
cosaque	cosaque
cosí	ainsi
costa	côte (littoral)
costar	coûter
costar multo	coûter cher
costil	côte (os)
